HDF	Agave.inulin	PDX	SCF	RW	RS4	B.GOS	FOS	WG	β.glucan	ITFs	GOS	RS	DF	Avocado	RMD	AXOS	MSPrebiotic	RS2	RG	Walnut	RPS	PCS	PPB	XOS	KGM	Inulin	LKFibre	JA	CH	PHGG	VLCI
ITFs	0.00347637308217028	0.0795371369862429	0.440518603714653	0.153027470109705	0.440518603714653	0.372436492026931	0.477931632749382	0.463318554980424	0.495699202346993	0.468487188952179	NA	0.429850437445771	0.471172613655016	0.478854931594335	0.477931632749382	0.387698017607098	0.393756750716171	0.477468584879563	0.125300430360776	0.448022040924343	0.477468584879563	0.477468584879563	0.463318554980424	0.463318554980424	0.470779473932205	0.477468584879563	0.470779473932205	0.355324488230115	0.42900355706533	0.42900355706533	0.471172613655016	0.477468584879563
GOS	0.343356737032686	0.0750912618662219	0.274922518202944	0.323423779206786	0.478580777270736	0.471172613655016	0.4197496301495	0.389758084073808	0.398655307084659	0.490513971561646	0.429850437445771	NA	0.481627496644431	0.451678314829156	0.478854931594335	0.429850437445771	0.0684077584919206	0.451678314829156	0.469772634293345	0.487155320190256	0.490513971561646	0.477931632749382	0.0523422353849649	0.0523422353849649	0.000612560747562353	0.000286307689795642	0.168288466370047	0.0414967830359774	0.463318554980424	0.463318554980424	0.0232145858089018	0.27061550160861
RS	0.0563969706677241	0.0236169418970343	0.477931632749382	0.477931632749382	0.478854931594335	0.487724030531296	0.0125349948070848	0.477468584879563	0.463318554980424	0.486624173415685	0.471172613655016	0.481627496644431	NA	0.00998432423720999	0.00343768926620738	0.418758835502755	0.00174102791259808	0.251374826376209	0.0195959324179789	0.146686284580631	0.425600405203376	0.471172613655016	0.486624173415685	0.486624173415685	0.399397876073796	0.463318554980424	0.265864609305137	0.428728831989545	0.20227733466878	0.20227733466878	0.477468584879563	0.430630435884132
DF	0.487155320190256	0.477468584879563	0.391882859868918	0.173563653419468	3.34230566034361e-05	0.0243505184417348	0.373894723172727	0.477468584879563	0.42900355706533	0.477468584879563	0.478854931594335	0.451678314829156	0.00998432423720999	NA	0.0761826039651508	0.00753561849599165	0.0940192634026518	0.251374826376209	0.444131396702988	0.0159526995408984	0.478854931594335	0.400241306527677	0.441571868633692	0.441571868633692	0.382795268300496	0.334841789582211	0.153027470109705	0.43304833132964	0.000121143667480116	0.000121143667480116	0.000232660812627236	3.38119925017485e-09
Avocado	0.019440360842831	0.487724030531296	0.471172613655016	0.463318554980424	0.430630435884132	0.347707589399377	0.0439871122530967	0.477468584879563	0.471172613655016	0.477468584879563	0.477931632749382	0.478854931594335	0.00343768926620738	0.0761826039651508	NA	0.000419340078737616	0.00295550183620173	0.0684077584919206	0.285057976121775	0.481627496644431	0.445946878141641	0.478580777270736	0.477468584879563	0.477468584879563	0.428728831989545	0.415814085205879	0.0376193444792645	0.5	8.41419024952541e-12	8.41419024952541e-12	0.42900355706533	0.0562216324247859
RMD	0.477468584879563	0.4197496301495	0.42900355706533	0.0294842762356838	6.69653274789986e-05	0.000599797610999205	0.403348916489964	0.456247880640299	0.477468584879563	0.463318554980424	0.387698017607098	0.429850437445771	0.418758835502755	0.00753561849599165	0.000419340078737616	NA	0.0033986685614991	0.474097736365146	0.410967672224462	0.471172613655016	0.471172613655016	0.470779473932205	0.468487188952179	0.468487188952179	0.463318554980424	0.471172613655016	1.32637662571241e-08	0.176210900158493	0.146686284580631	0.146686284580631	0.447939274031689	0.0562216324247859
AXOS	0.0644318488046961	0.487724030531296	0.104664568785193	0.457170329759412	0.478854931594335	0.470779473932205	0.000793371747552096	0.265203331378998	0.265203331378998	0.42900355706533	0.393756750716171	0.0684077584919206	0.00174102791259808	0.0940192634026518	0.00295550183620173	0.0033986685614991	NA	0.00416805648842348	0.32944490232792	0.0310781718349073	0.454711772085997	0.347707589399377	0.357378022997285	0.357378022997285	0.0143315500498789	0.0143315500498789	0.179133213464387	0.237592831683653	0.000939975902016338	0.000939975902016338	0.371886283425775	0.23991104771415
MSPrebiotic	0.470779473932205	0.487877483057264	0.347707589399377	0.463318554980424	0.297307959178752	0.477468584879563	0.0292025602633094	0.447179008423954	0.477468584879563	0.439017498103559	0.477468584879563	0.451678314829156	0.251374826376209	0.251374826376209	0.0684077584919206	0.474097736365146	0.00416805648842348	NA	0.447179008423954	0.0139074482645641	0.481494477437034	0.471172613655016	0.32944490232792	0.32944490232792	0.256020528602695	0.1548860221575	0.478580777270736	0.487724030531296	0.471172613655016	0.471172613655016	0.5	0.23889515715361
RS2	1.04531273135948e-21	2.26960794285104e-08	0.0105128087710324	0.00136063309623783	0.00885598774230387	0.00523571828857119	0.428728831989545	0.477468584879563	0.462689407056394	0.012806761655196	0.125300430360776	0.469772634293345	0.0195959324179789	0.444131396702988	0.285057976121775	0.410967672224462	0.32944490232792	0.447179008423954	NA	3.12055049196624e-13	0.0215302819823905	0.000214304552613017	0.487724030531296	0.487724030531296	0.069068103358031	0.251374826376209	0.441571868633692	0.5	0.161996455566072	0.161996455566072	0.278525644750853	0.477468584879563
RG	0.0965824319053248	0.447179008423954	0.400324669253891	0.302015482657168	0.42900355706533	0.305808539829279	0.447939274031689	0.486624173415685	0.000315982693951139	0.470779473932205	0.448022040924343	0.487155320190256	0.146686284580631	0.0159526995408984	0.481627496644431	0.471172613655016	0.0310781718349073	0.0139074482645641	3.12055049196624e-13	NA	0.0965824319053248	0.43304833132964	0.440964523895168	0.440964523895168	0.28173161832449	0.182828598560666	0.471172613655016	0.5	0.487155320190256	0.487155320190256	0.420142008745397	0.471172613655016
