HDF	Agave.inulin	PDX	SCF	RW	RS4	B.GOS	FOS	WG	β.glucan	ITFs	GOS	RS	DF	Avocado	RMD	AXOS	MSPrebiotic	RS2	RG	Walnut	RPS	PCS	PPB	XOS	KGM	Inulin	LKFibre	JA	CH	PHGG	VLCI
PCS	0.00744245160338672	0.0970146719622721	0.0791191258345343	0.0438183160046218	-0.0138522383763203	0.00731625736036914	0.0889363708999026	0.0763760353613018	0.0745808243978014	0.00255567327461077	0.00409574691255707	0.162548078557	0.00130718954494954	-0.0385770508348323	-0.00418757394029827	0.0112575229648723	0.193943427279526	-0.0388147243295456	0.0930288305145159	0.263721405819493	-0.00859007954310848	0.00922737159985334	1	1	0.722354537333981	0.641998567049326	0.310180539734875	0.556656591708112	0.0132248247011833	0.0132248247011833	0.0104366456763441	0.143888367306607
PPB	0.00744245160338672	0.0970146719622721	0.0791191258345343	0.0438183160046218	-0.0138522383763203	0.00731625736036914	0.0889363708999026	0.0763760353613018	0.0745808243978014	0.00255567327461077	0.00409574691255707	0.162548078557	0.00130718954494954	-0.0385770508348323	-0.00418757394029827	0.0112575229648723	0.193943427279526	-0.0388147243295456	0.0930288305145159	0.263721405819493	-0.00859007954310848	0.00922737159985334	1	1	0.722354537333981	0.641998567049326	0.310180539734875	0.556656591708112	0.0132248247011833	0.0132248247011833	0.0104366456763441	0.143888367306607
XOS	0.142535748459235	0.323666435407576	0.139620116383468	0.134576154590402	0.00793264220535098	0.107530779907317	0.0359953559234488	0.149785216756675	0.116803161188974	0.00405427730320684	0.0458050426416224	0.323378932673525	0.0755695006729184	-0.157854815773658	-0.0192667939937034	0.0465134956076463	0.260757382463165	-0.0929746850437346	-0.283405897481396	0.275933550388939	-0.253278998135981	-0.00595116590769289	0.722354537333981	0.722354537333981	1	0.948404687064966	0.196840145116072	0.454187200246165	0.407109953295421	0.407109953295421	0.175264122529086	0.211544409429051
KGM	0.0487853702142723	0.194224357588583	0.171591157753649	0.124496222588005	-0.00490296185938783	0.0536880902267944	0.110251805855512	0.174668315020196	0.14811565492544	0.00453442738333994	0.0366210398814036	0.339483431254575	0.0358978872427315	-0.173377428668119	-0.0276833229795326	0.0391167987763355	0.270250869533455	-0.115003890855657	-0.152547591844614	0.324075912486293	-0.164736044124564	0.000772759675211644	0.641998567049326	0.641998567049326	0.948404687064966	1	0.154504788915449	0.339438541970559	0.262112771685942	0.262112771685942	0.145268267376579	0.250329686229034
Inulin	0.00294510376230821	0.281126227839182	-0.0316876635626463	0.00263785448836089	0.112984401236101	0.0438436235531934	0.0595686476667285	0.0295767069034527	-0.00469442024787742	0.00188749673037712	-0.000796093617080242	0.114487577140679	0.0687237810218351	0.0936958476892808	0.189697717195651	0.597664472526342	0.0913614431664839	-0.00148520448926942	0.0485736153310282	0.0598457411006686	0.0338408741676721	0.292932996069761	0.310180539734875	0.310180539734875	0.196840145116072	0.154504788915449	1	0.564221033087446	0.183558831570375	0.183558831570375	-0.0122407907173214	-0.0604588865431914
LKFibre	0.138909615852496	0.518900995575588	0.0776819288638097	0.0846371253826745	0	0.0914969565021164	0.136252617823172	0.078815237487525	0.0373608692477742	0	0.123889157327879	0.189280207599932	0.0332530710719525	-0.132738619304077	0	0.159193378146328	0.158949632365939	0.0567193451341911	0	0	-0.112026252277522	0.353034456913219	0.556656591708112	0.556656591708112	0.454187200246165	0.339438541970559	0.564221033087446	1	0.168880201488323	0.168880201488323	0.0722758790035959	0.108764469917893
JA	0.0199800847230983	0.289608373795808	0.0116656256526103	-0.018747924719915	-0.556179255819521	-0.0413277461734285	-0.487905203633864	0.0101175033216761	-0.172216752102386	-0.00183764522328932	0.0125841677413934	0.0597238340825844	-0.123576522151723	-0.511049147570805	-0.855519616767349	0.118126160237009	-0.388054933351174	0.00262128588260165	-0.309162433276051	-0.0484186503893085	-0.19405951346122	-0.321657512971942	0.0132248247011833	0.0132248247011833	0.407109953295421	0.262112771685942	0.183558831570375	0.168880201488323	1	1	0.378692613990582	0.0590280002433908
CH	0.0199800847230983	0.289608373795808	0.0116656256526103	-0.018747924719915	-0.556179255819521	-0.0413277461734285	-0.487905203633864	0.0101175033216761	-0.172216752102386	-0.00183764522328932	0.0125841677413934	0.0597238340825844	-0.123576522151723	-0.511049147570805	-0.855519616767349	0.118126160237009	-0.388054933351174	0.00262128588260165	-0.309162433276051	-0.0484186503893085	-0.19405951346122	-0.321657512971942	0.0132248247011833	0.0132248247011833	0.407109953295421	0.262112771685942	0.183558831570375	0.168880201488323	1	1	0.378692613990582	0.0590280002433908
PHGG	-0.0855130762874308	-0.0869232599311393	-0.0439851919294728	0.00504335963753345	-0.570553493205255	-0.0848336698582201	-0.107390607115807	0.00951997338683187	0.0280237741461997	0.000303248689282342	0.00104131047509775	0.22028067711283	0.0190310964313476	-0.638475923271901	-0.0488189298057479	-0.0405248027527762	-0.0229508976644187	-4.46047593658565e-05	0.10621537855111	0.134272080241843	0.202924665831221	-0.0944018949538147	0.0104366456763441	0.0104366456763441	0.175264122529086	0.145268267376579	-0.0122407907173214	0.0722758790035959	0.378692613990582	0.378692613990582	1	0.185602267061666
VLCI	0.00650650651819424	0.0395946758037906	-0.0414558415813314	-0.059483049975955	-0.441150468039692	-0.0226425445065884	0.0194780079851446	0.0532845835487867	0.0242071006275587	0.00121354308518199	0.00576548593274018	0.0980660034637247	-0.0121761774738324	-0.751452979916558	-0.259376311355524	-0.220886063426847	-0.101892130833824	-0.12526074707993	0.0441740715118023	0.0556422297969313	-0.0104678135668347	0.0137860175246878	0.143888367306607	0.143888367306607	0.211544409429051	0.250329686229034	-0.0604588865431914	0.108764469917893	0.0590280002433908	0.0590280002433908	0.185602267061666	1
