#ID1	ID2	Microbe	20Dim
Viral_Hepatitis_C	Brain_Damage	-0.0498792951982777	-0.0758808266921196
Viral_Warts_HPV	Brain_Damage	-0.0120617235834544	-0.406383151474619
Acne	Brain_Damage	-0.0020699418303721	-0.102502043810015
Alopecia	Brain_Damage	0.00382389489777148	-0.330585236152413
Dyschromia	Brain_Damage	-0.000687715404697485	-0.265061889764931
Atherosclerosis	Brain_Damage	0.0656411947966788	-0.0465575965760415
Lichen	Brain_Damage	-0.0279864528900718	-0.525696826174548
Non-Specific_Dental_Disorder	Brain_Damage	0.00996286291784077	0.0859063504100841
Non-Specific_Soft_Tissue_Disorder	Brain_Damage	0.091095229260386	0.136395220823454
Oral_Soft_Tissue_Disease	Brain_Damage	-0.00164970137530974	-0.203006888326406
Radiation_Sensitivity	Brain_Damage	0.0765019876422144	-0.360078051372205
Rosacea	Brain_Damage	-0.0121218365431794	-0.354484450963248
Seborrheic_Dermatitis	Brain_Damage	-0.0325328351418882	-0.473241354696973
Cardiac_Dysrhythmia	Brain_Damage	-0.076131939526997	0.191069181815469
Copper_Metabolism_Disorder	Brain_Damage	0.0838060342066358	0.135560519494281
Gout_Related_Crystal_Arthropathies	Brain_Damage	-0.0722514164505955	-0.193839756817573
Cerebrovascular_Disease	Brain_Damage	-0.0632131363749935	0.621345852202423
Malnutrition	Brain_Damage	0.00357907632922088	0.169088740539153
Metabolic_Syndrome_X	Brain_Damage	-0.128074739843432	-0.198933669908578
Deep_Vein_Thrombosis	Brain_Damage	0.0561984021527948	0.106140753069493
Unspecified_Hyperlipidemia	Brain_Damage	-0.0534747766359248	-0.273535646997623
Abnormal_Spine_Curvature	Brain_Damage	0.164008476735781	0.157997799351151
General_Hypertension	Brain_Damage	-0.0225170060723943	-0.216230423003456
General_Spondylosis_Spine_Disorder	Brain_Damage	-0.0317498982448123	-0.00795473301565358
Osteoporosis	Brain_Damage	0.106467287239434	-0.107922904033395
Benign_Colon_Neoplasm	Brain_Damage	0.010034791210494	-0.353423737511518
Benign_Oropharyngeal_Neoplasm	Brain_Damage	0.00113169419545012	-0.0870258451277169
Benign_Uterine_Neoplasm	Brain_Damage	-0.165892871218326	-0.199527333545731
Bladder_Cancer	Brain_Damage	-0.00501925410093584	-0.264110488241228
Breast_Cancer	Brain_Damage	0.0016436419402889	0.0112524435546946
